id,article_id,conversation_id,turn_id,"speaker","text","person_id_1","person_id_2",Emotion,EmotionalPolarity,Empathy,SelfDisclosure
87,35,4,19,"Person 2","Yes there will always be disasters. Until the core problem of the country is fixed, I think we will always have to be ready to help.","p041","p071",3,1,2,1.6667
88,35,4,20,"Person 1","That might take a lot longer than 10 years. It might be a good idea if the UN established permanent or semi permanent facilitiesc","p041","p071",2,0.6667,2.6667,1.6667
89,35,4,21,"Person 2","Yes I think if we could supply them advisers and disaster professionals they could greatly benefit","p041","p071",2.3333,0,2.3333,1.6667
90,35,4,22,"Person 1","True, but who would want to go there long term? I know I wouldn't. It's so far away and so different","p041","p071",2.3333,1.3333,1.6667,2
91,35,4,23,"Person 2","I probably would not. We would have to compensate those individuals well.","p041","p071",2,1.3333,2,2
92,35,4,24,"Person 1","The compensation would have to be high to motivate the right people","p041","p071",2,1,2.6667,2
93,35,4,25,"Person 2","Yeah but I think the fact they would be helping those in need, could also be a motivation","p041","p071",2,0.3333,2.3333,2.3333
94,35,4,26,"Person 1","True but would it be enough to keep them from their friends and family for long durations?","p041","p071",2,1,2,1
95,35,4,27,"Person 2","Probably different for each person, I am optimistic though.","p041","p071",2,0.3333,2,1.6667
96,35,4,28,"Person 1","Yes I can see that. It has been nice chatting. We have to bring our conversation to a conclusion","p041","p071",1.3333,0.6667,0.6667,1
97,35,4,29,"Person 2","Yes this has been enjoyable. bye","p041","p071",1.3333,0.3333,0.6667,1.3333
98,35,4,30,"Person 1","goodbye","p041","p071",1,1,0.6667,1
99,35,5,0,"Person 1","Please, what did you think about the article","p022","p010",1,1,1,1.3333
100,35,5,1,"Person 2","It's very sad.   I can't believe in the 21st century that people are still so slow in helping third world countries or even in the US when New Orleans was destroyed.   It makes no sense.","p022","p010",3.6667,2,3.3333,3.3333
101,35,5,2,"Person 1","It's terrible. I feel bad for all the people left without shelter!","p022","p010",4,2,4.3333,3
102,35,5,3,"Person 2","And food - you can get by in Haiti without much shelter but one must have clean water and food to live","p022","p010",3,1.6667,3.3333,2
103,35,5,4,"Person 1","Agree. Have you ever been in a hurricane?","p022","p010",1.6667,1,1.3333,1.6667
104,35,5,5,"Person 2","I have not but I have been to Haiti on a mission trip.   Such wonderful kind people.","p022","p010",3.3333,0.3333,3.3333,2.6667
105,35,5,6,"Person 1","Wow, Haiti sounds awesome. I'm from Florida so there's lots of them here and they are all nice.","p022","p010",3,0.3333,2,3.3333
106,35,5,7,"Person 2","That would be so much stress.   I live in Colorado so just beautiful white snow.","p022","p010",2.3333,1,1,3.3333
107,35,5,8,"Person 1","It's pretty stressful when hurricanes hit. I once stayed for one even though we were supposed to evacuate, nobody was hurt but it was a scary experience","p022","p010",3,2,1.6667,3
108,35,5,9,"Person 2","I have been near tornadoes and they look bad enough.  I can't imagine a hurricane.","p022","p010",2.6667,2,1.6667,3
109,35,5,10,"Person 1","It's scary because all you can do is hide in your home hoping it passes by without doing much damage. I hope the people affected by the hurricane are getting help right now.","p022","p010",3.6667,2,3.3333,3
110,35,5,11,"Person 2","I follow college basketball like a crazy person.   Skal Labiesse was trapped in the hurricane in this article.   His whole home collapsed on him and he was covered with rock and materials for three days.   His story is so frightening.   He thought he was dying","p022","p010",4.3333,1.6667,3.3333,3
111,35,5,12,"Person 1","Yeah it's definitely very different. The air pressure feels different when you're in a hurricane. All you hear are sounds of things ripping apart ourside","p022","p010",2.3333,1.6667,2.3333,2.3333
112,35,5,13,"Person 2","Wow.   Are you on the gulf or the Atlantic?","p022","p010",2.3333,1,0.6667,1.3333
113,35,5,14,"Person 1","Atlantic, i've lived in Florida for about 8 years now and luckyily haven't had any MAJOR hurricane yet.","p022","p010",2,1,0.6667,2.3333
114,35,5,15,"Person 2","That's good to hear.   Haiti has such a corrupt government - I wonder how much their President stole from the people so he had fun for a long time.","p022","p010",2.6667,1.3333,2.3333,2.6667
115,35,5,16,"Person 1","I didn't think of that. That's why i don't even donate but i feel bad because i can't help","p022","p010",2.3333,1.6667,3.3333,2.6667
116,35,5,17,"Person 2","It's gotten to that point everywhere unless a church is doing all the work.   American Cancer Society, March of Dimes, United Way - hardly any goes to the people or cause you are donating to - it's all taken in outlandish salaries of that charity","p022","p010",3,2,1.6667,2.3333
117,35,5,18,"Person 1","Sad that people are so corrupt. I really hope those people get help. It was nice talking to you! bye!","p022","p010",2.6667,2,2.3333,2.3333
118,35,5,19,"Person 2","You too goodbye","p022","p010",1,1,0.3333,1
119,213,6,0,"Person 1","what a sad thing to happen to someone who has gone through so much","p020","p030",3.3333,2,3,2
120,213,6,1,"Person 2","and at such a young age too.","p020","p030",1.6667,1.6667,2.6667,2
121,213,6,2,"Person 1","what a freak accident","p020","p030",2.6667,1.6667,2.3333,1.3333
122,213,6,3,"Person 2","yeah, they didn't really elaborate on what happened though","p020","p030",2,1,1.6667,1.3333
123,213,6,4,"Person 1","he had the true american dream story","p020","p030",3,0.3333,2.3333,2
124,213,6,5,"Person 2","more or less, most people can't throw 94 mph fast balls though.","p020","p030",2,1,2,1.6667
125,213,6,6,"Person 1","yup but going from poor to crazy rich all from hard work. love to see it","p020","p030",3,0,2.3333,1.6667
126,213,6,7,"Person 2","seemed to be a pretty altruistic guy too. There wasn't anything but goodwill toward him.","p020","p030",2.3333,0.3333,2,2.3333
127,213,6,8,"Person 1","I wonder if the team retired his number to honor him","p020","p030",2,0.6667,2.3333,3
128,213,6,9,"Person 2","hm, i wouldn't know. Do you follow baseball?","p020","p030",1.6667,1,0.6667,2.3333
129,213,6,10,"Person 1","yes, I watch the yankees almost every night. How about you?","p020","p030",1.3333,1,0.6667,2.6667
130,213,6,11,"Person 2","I like to play baseball, but watching it never really thrills me. Are the Yankees in the playoffs this year?","p020","p030",1.3333,1,0.6667,3
131,213,6,12,"Person 1","yes! they made it to the playoffs!","p020","p030",3,0,0.6667,2
132,213,6,13,"Person 2","that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.","p020","p030",1.6667,0.3333,2.3333,2
133,213,6,14,"Person 1","I heard about it in the news when it happened but I don't follow baseball to close just the yankees. I bet he was a pretty big deal on his team.","p020","p030",1.6667,1,2,2.3333
134,213,6,15,"Person 2","do you think it was just a freak accident? Or, was there more to the boat wreck than was indicated?","p020","p030",1.6667,1.3333,1.6667,1.3333
135,213,6,16,"Person 1","I remember hearing he jumped into the water head first into a rock and it killed him instantly.","p020","p030",2,1.3333,2,2.6667
136,213,6,17,"Person 2","huh, the article made it sound like it was a wreck at high speed or something. The rock story seems less conspicuous.","p020","p030",1.6667,1.3333,2,1.3333
137,213,6,18,"Person 1","i couldn't imagine being the family of him that had to be horrible","p020","p030",3.6667,2,3.6667,2.3333
138,213,6,19,"Person 2","no doubt. well thanks for chatting with me. Go Yankees! bye","p020","p030",1.6667,0.3333,2,1.6667
139,213,6,20,"Person 1","bye","p020","p030",1,1,0.6667,1
140,213,7,0,"Person 1","What did you think about this article","p019","p068",1,1,1,1
141,213,7,1,"Person 2","this just made me so sad he was a great guy","p019","p068",3.6667,2,4,2
142,213,7,2,"Person 1","It makes me sad too...","p019","p068",2.6667,2,3.6667,2
143,213,7,3,"Person 2","crazy how fast they were going","p019","p068",3,1.3333,2.6667,1.3333
144,213,7,4,"Person 1","It is... seems so dangerous.","p019","p068",2.6667,1.6667,2.3333,1.6667
145,213,7,5,"Person 2","yeah i wonder if eventually they will discover drugs or alchol","p019","p068",2,1.3333,2.3333,1.3333
146,213,7,6,"Person 1","I wouldn't be surprised... a \"celebrity\" like that, it seems like it'd be normal almost","p019","p068",2,1.3333,2.6667,1.6667
147,213,7,7,"Person 2","True but man he was such a great guy with good morals guess you really never now people","p019","p068",3,0.3333,3.3333,1.6667
148,213,7,8,"Person 1","That is true... It's hard to think about.. I hope there was no suffering for him. I hope it was quick as could be.","p019","p068",3.6667,0.6667,4,2
149,213,7,9,"Person 2","I agree probably upon impact hopefully","p019","p068",2.6667,1,3.6667,1.6667
150,213,7,10,"Person 1","Yes I would hope... Did he have much family did it say?","p019","p068",1.6667,0.6667,3,1.3333
151,213,7,11,"Person 2","his family mother was in cuba came to see him once at a game","p019","p068",1.3333,1,3,1.3333
152,213,7,12,"Person 1","Oh yah that's right... Poor lady. It must be hard with no real closure, so suddenly like that","p019","p068",3.6667,2,4.3333,1.3333
153,213,7,13,"Person 2","and being so far away and speaking spanish its not easy to come here form cuba i wonder if the funeral will be in cuba","p019","p068",2.6667,1.6667,4,1.3333
154,213,7,14,"Person 1","I would hope so for her sake, and I';m sure he has other family down there","p019","p068",2.6667,1,4,1.3333
155,213,7,15,"Person 2","yeah very true feel bad for his friends families two","p019","p068",2.6667,2,4,2
156,213,7,16,"Person 1","Yah... his mom shouldn't have to deal with travelling to a new foreign country on top of her grieving","p019","p068",3,1.6667,4.3333,1.6667
157,213,7,17,"Person 2","Im sure the team will take care alot of it they helped her get her visa and loved him","p019","p068",2.6667,0,3.6667,1.3333
158,213,7,18,"Person 1","That's true I didn't think about that... I bet they will be good support for her","p019","p068",2.3333,0,3.6667,1.3333
159,213,7,19,"Person 2","yeah that would be a great support for them","p019","p068",2.3333,0,3.3333,1.3333
160,213,7,20,"Person 1","And I'm sure they'd like to get to know his mom more, now that he is not around. See where he came from kind og","p019","p068",2,0.6667,3.3333,1.3333
161,213,7,21,"Person 2","oh yes agreed, this has been a great conversation!","p019","p068",2.3333,0,1.3333,1.3333
162,213,7,22,"Person 1","It has been for me as well! goodbye :)","p019","p068",2.3333,0,1,1.3333
163,213,7,23,"Person 2","bye!","p019","p068",1.6667,1,1,1
164,213,8,0,"Person 1","Sounded like a very kindhearted man.","p035","p054",3,0,3.3333,1.3333
165,213,8,1,"Person 2","Yes so sad that his life ended this way","p035","p054",3.3333,1.3333,3.3333,1.6667
166,213,8,2,"Person 1","I was wondering if no drugs or alcohol were involved what happened?","p035","p054",1.3333,1,2,1
167,213,8,3,"Person 2","Maybe an inexperienced person trying to drive the boat?","p035","p054",1.6667,1,3,1
168,213,8,4,"Person 1","That could have been it.","p035","p054",1.3333,1,2,1
169,213,8,5,"Person 2","Boating can be quite dangerous if you dont know what you are doing","p035","p054",2.3333,2,2.3333,1.3333
170,213,8,6,"Person 1","It was nice that he saved his mom not knowing it was her.","p035","p054",2.6667,0,3,1.6667
171,213,8,7,"Person 2","Yes very nice.  It sounds like they had a hard life in cuba","p035","p054",3,0.3333,3.3333,1.6667
172,213,8,8,"Person 1","Yeah, It was nice for the team to get the visa.","p035","p054",2.6667,0,3,1.6667
173,213,8,9,"Person 2","Im sure his life was quite different after beginning his baseball career","p035","p054",2,0,3.3333,1.3333
174,213,8,10,"Person 1","yeah, so sad that it was cut so short.","p035","p054",3.3333,1.6667,4,1.3333
175,213,8,11,"Person 2","very sad. from the reading material he sounded like a great person","p035","p054",3,1.3333,4,1.6667
176,213,8,12,"Person 1","yeah and did not change much when he got his baseball money.","p035","p054",3,0.6667,3,1.3333
177,213,8,13,"Person 2","yes it sounds like he stayed true to himself","p035","p054",2.3333,0,3,1.3333
178,213,8,14,"Person 1","He must had a lot of trust for the driver of the boat.","p035","p054",2,0.3333,3,1.3333
179,213,8,15,"Person 2","I dont know how the driver managed to hit the rocks at full speed. Youd have to see something like that coming","p035","p054",2.3333,1.6667,2.3333,1.6667
180,213,8,16,"Person 1","That what I was thinking. It is not a pretty way to die.","p035","p054",2.6667,2,2.6667,2
181,213,8,17,"Person 2","No not at all. A real tragedy for sure","p035","p054",3.6667,2,3.6667,1.6667
182,213,8,18,"Person 1","He was a very good player too.","p035","p054",2.3333,0.3333,3.3333,2
183,213,8,19,"Person 2","One of the best.","p035","p054",2.6667,0,3.3333,2
184,213,8,20,"Person 1","It was nice chatting! bye","p035","p054",1.3333,0,0.6667,1
185,213,8,21,"Person 2","You too, goodbye","p035","p054",1.3333,0.3333,0.6667,1
186,213,9,0,"Person 1","Hey how are you? Are you a baseball fan?","p048","p022",0.6667,0.6667,0.6667,1
187,213,9,1,"Person 2","Hey there. I am not but i do feel really sorry for the player! You?","p048","p022",3.3333,1.3333,2.3333,2.3333
188,213,9,2,"Person 1","I am not a fan but yes such a tragedy. I can","p048","p022",2.6667,2,3.6667,1.6667
189,213,9,3,"Person 2","I feel bad not only for him but his family as well","p048","p022",3,2,3.6667,2.3333
190,213,9,4,"Person 1","Exactly. He was so young too. I can't even fathom losing a son so young. Parents should never have to bury their children but you hear it happening almost every day these days.","p048","p022",3.6667,2,4,3
191,213,9,5,"Person 2","Yeah accidents happen and you just never know what will happen. :(","p048","p022",3,2,3,2.3333
192,213,9,6,"Person 1","Most definitely. It makes you just want to hug your loved ones because you never know what'll happen.","p048","p022",3.3333,1,3,3
193,213,9,7,"Person 2","Yup, i try to live by the motto live everyday like it's your last but it's not easy to follow","p048","p022",2.6667,1,2.3333,3.6667
194,213,9,8,"Person 1","No, it's really not. You take each day for granted. I am in a season of my life where I just keep wishing the days away and hoping time speeds up. But it's no way to live because you miss the small moments!","p048","p022",3.6667,1.6667,2.3333,3.6667
195,213,9,9,"Person 2","I totally agree. If you don't mind me asking , why are you hoping time speeds up?","p048","p022",1.6667,1,2.3333,2
196,213,9,10,"Person 1","Oh, nothing bad. Really good actually but I am 7 months pregnant and it's just not fun. haha So I just want it to be December already.","p048","p022",2.6667,1,0.6667,3.3333
197,213,9,11,"Person 2","Oh wow, congrats to you!","p048","p022",3.3333,0,0.6667,2.3333
198,213,9,12,"Person 1","Thank you much. It's a great thing but just exhausting as expected!","p048","p022",3,0,0.6667,2.6667
199,213,9,13,"Person 2","I can't even imagine! But back to the sotry, i hope the family is fine now.","p048","p022",2.3333,0.6667,3,2.3333
200,213,9,14,"Person 1","Yes, that would be a hard loss. Unexpected deaths are obviously way harder.","p048","p022",3,2,4,2.3333
201,213,9,15,"Person 2","True. I heard of KINDA a similar incident with a football player that got into an accident and lost his arm. It's all so terrible","p048","p022",3.6667,2,2.6667,2
202,213,9,16,"Person 1","Oh man. Especially when someone does it for a living, it's hard to have any sort of life altering injury. It definitely crushes their spirits.","p048","p022",2.6667,2,2.6667,2.3333
203,213,9,17,"Person 2","For sure! It's very heartbreaking. Well it was nice talking to you! bye","p048","p022",2.6667,1.3333,3.6667,1.3333
204,213,9,18,"Person 1","goodbye.","p048","p022",1,1,0.6667,1
205,213,10,0,"Person 1","Sad about what happened to those guys.  I hope no one makes this about alcohol or anything.","p063","p039",2.3333,2,3,2
206,213,10,1,"Person 2","Yes after all the struggle to get to where he was","p063","p039",2.3333,2,3.6667,1.6667
207,213,10,2,"Person 1","Right. I can't imagine being his family either.  To see their child go like that after being so successful has to sting.","p063","p039",3.3333,2,3.3333,2
208,213,10,3,"Person 2","absolutely growing up in Cuba and then achieving so much","p063","p039",2,1.6667,3.6667,1.3333
209,213,10,4,"Person 1","I don't remember if it said so in the article or not, but was it night when they ran into the rocks? I just don't get why they didn't see them?","p063","p039",2.6667,1.3333,2.6667,1.3333
210,213,10,5,"Person 2","I remember when this happened saw it on ESPN but I think it was night","p063","p039",1.3333,1,2.3333,1.3333
211,213,10,6,"Person 1","At least it was probably instant.  They probably had no idea the rocks were there and absolutely flew into them without any chance to realize what was going on.","p063","p039",2.3333,1.3333,3.6667,2
212,213,10,7,"Person 2","yea it would suck to be in a coma","p063","p039",2.3333,2,2.6667,2
213,213,10,8,"Person 1","Lol I think it would suck more to come out of a coma.  When you're in it you have no idea.  I would hate coming out of one and realizing you lost a month of your life or something.","p063","p039",3,2,2.6667,2.6667
214,213,10,9,"Person 2","I wonder what you think about in a coma","p063","p039",1.3333,1,2,2
215,213,10,10,"Person 1","I feel like there's lots of stories out there about people saying they saw everything but from the third person perspective or things like that. Other people say it was just the deepest sleep they've ever had.","p063","p039",1.6667,1,1,1.3333
216,213,10,11,"Person 2","the mind is a trip","p063","p039",1.6667,1,1,1.6667
217,213,10,12,"Person 1","For real.  Obviously they don't know everything about it, but it blows my mind when I watch docs or something where people are breaking down the parts of the brain... Like, how the fuck did we figure all this stuff out...","p063","p039",3.3333,0.6667,1,1.6667
218,213,10,13,"Person 2","yea I love watching that stuff I'm the only one who's not a doctor in my family but I'm still in the medical field we used to have some real interesting dinner convos","p063","p039",2.3333,0.3333,1,2.3333
219,213,10,14,"Person 1","What do you do in the medical field?","p063","p039",1,1,0.6667,1
220,213,10,15,"Person 2","Surgical Technologist","p063","p039",1,1,0.6667,3.3333
221,213,10,16,"Person 1","Damn.  Sounds cool.  Do you just sit in on surgeries and assist?","p063","p039",2.3333,0.3333,0.6667,1.6667
222,213,10,17,"Person 2","Yea my job is to get all the instruments ready and basically be an extra pair of hands for the surgeon handing him all the instruments and helping him with the surgery. A good surgical tech knows the surgery just as well as the surgeon so he/she never has to ask for anything you should anticipate it","p063","p039",2.3333,0.6667,0.6667,4
